Day,Date,World,India
222,08-08-2020,275903,61537
223,09-08-2020,268718,64399
224,10-08-2020,229414,62064
225,11-08-2020,219766,53601
226,12-08-2020,261467,60963
227,13-08-2020,289348,66999
228,14-08-2020,286670,64553
229,15-08-2020,288918,65002
230,16-08-2020,259633,63490
231,17-08-2020,232361,57981
232,18-08-2020,196546,55079
233,19-08-2020,255024,64531
234,20-08-2020,281518,69652
235,21-08-2020,276318,68898
236,22-08-2020,253231,69878
237,23-08-2020,266730,69239
238,24-08-2020,224348,61408
239,25-08-2020,211458,60975
240,26-08-2020,255073,67151
241,27-08-2020,276675,75760
242,28-08-2020,283410,77266
243,29-08-2020,276599,76472
244,30-08-2020,269011,78761
245,31-08-2020,245224,78512
246,01-09-2020,242506,69921
247,02-09-2020,268546,78357
248,03-09-2020,283140,83883
249,04-09-2020,278854,83341
250,05-09-2020,293457,86432
251,06-09-2020,279725,90632
252,07-09-2020,248633,90802
253,08-09-2020,206381,75809
254,09-09-2020,244646,89706
255,10-09-2020,282730,95735
256,11-09-2020,310287,96551
257,12-09-2020,305324,97570
258,13-09-2020,287096,94372
259,14-09-2020,272594,92071
260,15-09-2020,242863,83809
261,16-09-2020,304164,90123
262,17-09-2020,291785,97894
263,18-09-2020,314666,96424
264,19-09-2020,309844,93337
265,20-09-2020,294862,92605
266,21-09-2020,253567,86961
